"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2019,1,1,55,2322,93,331,208,83,"AA",179,"N200NV","PHL","DFW",203,1303,23,22,2019-01-01 23:00:00
2019,1,1,504,516,-12,612,636,-24,"B6",145,"N228JB","PHL","BOS",49,280,5,16,2019-01-01 05:00:00
2019,1,1,519,508,11,835,804,31,"AA",483,"N929NN","PHL","DFW",227,1303,5,8,2019-01-01 05:00:00
2019,1,1,522,530,-8,636,704,-28,"B6",392,"N197JB","PIT","BOS",59,496,5,30,2019-01-01 05:00:00
2019,1,1,529,535,-6,717,742,-25,"OO",743,"N914EV","ABE","DTW",86,425,5,35,2019-01-01 05:00:00
2019,1,1,537,542,-5,719,735,-16,"DL",158,"N917DN","PHL","DTW",85,453,5,42,2019-01-01 05:00:00
2019,1,1,539,530,9,845,820,25,"UA",432,"N54711","PHL","IAH",205,1325,5,30,2019-01-01 05:00:00
2019,1,1,540,540,0,655,650,5,"WN",308,"N7849A","PHL","BNA",120,675,5,40,2019-01-01 05:00:00
2019,1,1,540,545,-5,606,615,-9,"WN",435,"N7743B","PIT","MDW",74,402,5,45,2019-01-01 05:00:00
2019,1,1,549,550,-1,809,805,4,"WN",158,"N7731A","PIT","MCO",125,834,5,50,2019-01-01 05:00:00
2019,1,1,550,550,0,645,650,-5,"WN",45,"N7889A","PIT","BWI",40,210,5,50,2019-01-01 05:00:00
2019,1,1,550,600,-10,739,831,-52,"OH",864,"N551NN","AVP","CLT",90,509,6,0,2019-01-01 06:00:00
2019,1,1,552,600,-8,725,735,-10,"AA",351,"N543UW","PHL","ORD",125,678,6,0,2019-01-01 06:00:00
2019,1,1,552,600,-8,839,901,-22,"AA",238,"N343AN","PHL","MIA",142,1013,6,0,2019-01-01 06:00:00
2019,1,1,552,601,-9,757,816,-19,"OH",882,"N564NN","ABE","CLT",102,481,6,1,2019-01-01 06:00:00
2019,1,1,553,600,-7,751,809,-18,"DL",502,"N957AT","MDT","ATL",103,620,6,0,2019-01-01 06:00:00
2019,1,1,556,600,-4,714,744,-30,"OO",746,"N885AS","SCE","DTW",57,301,6,0,2019-01-01 06:00:00
2019,1,1,556,600,-4,747,809,-22,"DL",519,"N920DN","PHL","MSP",156,980,6,0,2019-01-01 06:00:00
2019,1,1,557,600,-3,819,828,-9,"9E",591,"N311PQ","ABE","ATL",113,692,6,0,2019-01-01 06:00:00
2019,1,1,557,600,-3,741,758,-17,"DL",266,"N991DL","PIT","ATL",85,526,6,0,2019-01-01 06:00:00
2019,1,1,558,600,-2,821,838,-17,"NK",95,"N510NK","PIT","LAX",301,2136,6,0,2019-01-01 06:00:00
2019,1,1,600,600,0,816,820,-4,"DL",544,"N925AT","AVP","ATL",122,714,6,0,2019-01-01 06:00:00
2019,1,1,601,600,1,842,830,12,"WN",67,"N8670A","PHL","MCO",132,861,6,0,2019-01-01 06:00:00
2019,1,1,601,602,-1,643,654,-11,"YX",631,"N743YX","PIT","ORD",85,413,6,2,2019-01-01 06:00:00
2019,1,1,604,615,-11,925,936,-11,"AS",189,"N846VA","PHL","LAX",340,2402,6,15,2019-01-01 06:00:00
2019,1,1,608,615,-7,840,856,-16,"NK",117,"N609NK","PHL","MCO",132,861,6,15,2019-01-01 06:00:00
2019,1,1,614,616,-2,856,911,-15,"B6",47,"N599JB","PHL","FLL",140,992,6,16,2019-01-01 06:00:00
2019,1,1,618,623,-5,721,741,-20,"OO",650,"N920EV","ERI","DTW",39,164,6,23,2019-01-01 06:00:00
2019,1,1,618,626,-8,712,730,-18,"MQ",676,"N262NN","PIT","ORD",79,413,6,26,2019-01-01 06:00:00
2019,1,1,619,625,-6,706,734,-28,"UA",311,"N409UA","PIT","IAD",32,182,6,25,2019-01-01 06:00:00
2019,1,1,622,620,2,859,905,-6,"WN",310,"N430WN","PHL","FLL",142,992,6,20,2019-01-01 06:00:00
2019,1,1,624,625,-1,702,710,-8,"WN",62,"N8573Z","PIT","BNA",85,462,6,25,2019-01-01 06:00:00
2019,1,1,627,635,-8,810,826,-16,"AA",80,"N286AY","PHL","CLT",81,449,6,35,2019-01-01 06:00:00
2019,1,1,627,630,-3,846,840,6,"WN",469,"N758SW","PHL","ATL",120,666,6,30,2019-01-01 06:00:00
2019,1,1,628,630,-2,715,734,-19,"YV",1034,"N513MJ","PHL","IAD",33,135,6,30,2019-01-01 06:00:00
2019,1,1,631,600,31,919,908,11,"F9",164,"N342FR","PHL","MIA",147,1013,6,0,2019-01-01 06:00:00
2019,1,1,631,636,-5,856,928,-32,"UA",469,"N844UA","PIT","SFO",307,2254,6,36,2019-01-01 06:00:00
2019,1,1,636,630,6,920,926,-6,"B6",401,"N612JB","PIT","FLL",140,994,6,30,2019-01-01 06:00:00
2019,1,1,637,625,12,921,914,7,"F9",171,"N713FR","PHL","TPA",142,920,6,25,2019-01-01 06:00:00
2019,1,1,638,640,-2,1006,938,28,"AA",127,"N575UW","PHL","DFW",224,1303,6,40,2019-01-01 06:00:00
2019,1,1,639,645,-6,929,940,-11,"NK",166,"N626NK","PHL","FLL",149,992,6,45,2019-01-01 06:00:00
2019,1,1,643,645,-2,851,913,-22,"NK",150,"N506NK","PHL","ATL",108,666,6,45,2019-01-01 06:00:00
2019,1,1,645,650,-5,1028,1005,23,"AA",82,"N814AW","PIT","PHX",285,1814,6,50,2019-01-01 06:00:00
2019,1,1,645,650,-5,938,955,-17,"YX",829,"N412YX","PIT","MIA",156,1013,6,50,2019-01-01 06:00:00
2019,1,1,647,650,-3,909,920,-11,"WN",55,"N236WN","PIT","TPA",128,873,6,50,2019-01-01 06:00:00
2019,1,1,649,650,-1,848,850,-2,"WN",69,"N8725L","PIT","LAS",274,1910,6,50,2019-01-01 06:00:00
2019,1,1,657,701,-4,823,849,-26,"AA",343,"N711UW","PIT","CLT",67,366,7,1,2019-01-01 07:00:00
2019,1,1,657,700,-3,939,945,-6,"NK",84,"N534NK","PIT","FLL",144,994,7,0,2019-01-01 07:00:00
2019,1,1,657,700,-3,904,914,-10,"DL",384,"N915DE","PHL","ATL",112,666,7,0,2019-01-01 07:00:00
2019,1,1,700,709,-9,833,834,-1,"OO",557,"N701SK","MDT","ORD",119,594,7,9,2019-01-01 07:00:00
2019,1,1,701,700,1,933,940,-7,"WN",258,"N8576Z","PHL","LAS",319,2176,7,0,2019-01-01 07:00:00
2019,1,1,705,710,-5,837,825,12,"WN",459,"N7862A","PHL","MDW",122,668,7,10,2019-01-01 07:00:00
2019,1,1,705,710,-5,813,843,-30,"YX",608,"N728YX","PIT","EWR",53,319,7,10,2019-01-01 07:00:00
2019,1,1,711,715,-4,945,950,-5,"AA",163,"N984TW","PIT","DFW",174,1067,7,15,2019-01-01 07:00:00
2019,1,1,723,724,-1,1029,1103,-34,"UA",112,"N837UA","PHL","SFO",348,2521,7,24,2019-01-01 07:00:00
2019,1,1,726,730,-4,757,800,-3,"WN",19,"N296WN","PIT","MDW",73,402,7,30,2019-01-01 07:00:00
2019,1,1,727,730,-3,944,948,-4,"F9",181,"N220FR","PHL","MSY",178,1089,7,30,2019-01-01 07:00:00
2019,1,1,728,730,-2,940,1010,-30,"DL",509,"N347NB","PIT","SLC",241,1660,7,30,2019-01-01 07:00:00
2019,1,1,729,730,-1,844,910,-26,"YX",999,"N207JQ","PIT","LGA",51,335,7,30,2019-01-01 07:00:00
2019,1,1,739,740,-1,919,915,4,"AA",98,"N173US","PHL","ORD",135,678,7,40,2019-01-01 07:00:00
2019,1,1,742,745,-3,926,935,-9,"WN",339,"N8577Z","PIT","ATL",91,526,7,45,2019-01-01 07:00:00
2019,1,1,743,751,-8,841,920,-39,"AA",116,"N741UW","PIT","PHL",43,268,7,51,2019-01-01 07:00:00
2019,1,1,746,714,32,952,940,12,"F9",142,"N228FR","PHL","JAX",109,742,7,14,2019-01-01 07:00:00
2019,1,1,751,755,-4,1033,1010,23,"UA",41,"N76505","PHL","DEN",248,1558,7,55,2019-01-01 07:00:00
2019,1,1,754,800,-6,929,1000,-31,"AA",407,"N724UW","MDT","CLT",76,413,8,0,2019-01-01 08:00:00
2019,1,1,754,802,-8,850,925,-35,"YX",821,"N110HQ","PIT","DCA",38,204,8,2,2019-01-01 08:00:00
2019,1,1,755,800,-5,1051,1137,-46,"AS",192,"N364VA","PHL","SFO",338,2521,8,0,2019-01-01 08:00:00
