"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N101HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N102HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N102UW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N103HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N103SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LL",2,88,0,"Turbo-fan"
"N103US",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N104HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N104UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N105HQ",2007,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N105SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LL",2,88,0,"Turbo-fan"
"N105UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N106HQ",2007,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N106SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N107HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N107SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N107US",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N108HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N108SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LL",2,88,0,"Turbo-fan"
"N108UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N109HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N109SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N109UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N110HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N110SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LL",2,88,0,"Turbo-fan"
"N110UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N11107",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,0,"Turbo-fan"
"N11165",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,0,"Turbo-fan"
"N11184",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,0,"Turbo-fan"
"N11189",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,0,"Turbo-fan"
"N11192",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,0,"Turbo-fan"
"N111HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N111US",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N11206",2000,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N112HQ",2007,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N112US",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N113HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N113SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LL",2,88,0,"Turbo-fan"
"N114HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N114SY",2014,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N114UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N11535",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,0,"Turbo-fan"
"N11536",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,0,"Turbo-fan"
"N115HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N116HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N116SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LL",2,88,0,"Turbo-fan"
"N117HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N117SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N117UW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N118HQ",2007,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N118NN",2014,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-231",2,379,0,"Turbo-fan"
"N118SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N118US",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
