"origin","year","month","day","hour","temp","dewp","humid","wind_dir","wind_speed","wind_gust","precip","pressure","visib","time_hour"
"PHL",2019,1,1,0,44,43,95.88,90,6.90468,7.9457676504,1e-04,1016.3,9,2019-01-01
"PHL",2019,1,1,1,45,45,100,100,4.60312,5.2971784336,0.01,1014.5,6,2019-01-01 01:00:00
"PHL",2019,1,1,2,46,45,96.28,0,0,0,0.01,1012.3,5,2019-01-01 02:00:00
"PHL",2019,1,1,3,46,46,100,130,3.45234,3.9728838252,0.03,1011,2.5,2019-01-01 03:00:00
"PHL",2019,1,1,4,47,46,96.66,0,0,0,1e-04,1009.3,5,2019-01-01 04:00:00
"PHL",2019,1,1,5,51,51,100,190,8.05546,9.2700622588,0.01,1007.8,5,2019-01-01 05:00:00
"PHL",2019,1,1,6,53.6,51.8,93.6,220,9.20624,10.5943568672,0.01,1006.4,9,2019-01-01 06:00:00
"PHL",2019,1,1,7,51.8,51.8,100,230,13.80936,15.8915353008,0.01,1005.5,9,2019-01-01 07:00:00
"PHL",2019,1,1,8,52,51,96.73,240,16.11092,18.5401245176,1e-04,1004.6,3,2019-01-01 08:00:00
"PHL",2019,1,1,9,55,55,100,230,13.80936,15.8915353008,0,1004.9,8,2019-01-01 09:00:00
"PHL",2019,1,1,10,58,55,90.04,240,20.71404,23.8373029512,0,1005.6,10,2019-01-01 10:00:00
"PHL",2019,1,1,11,58,54,86.82,240,16.11092,18.5401245176,0,1006.2,10,2019-01-01 11:00:00
"PHL",2019,1,1,12,58,53,84,230,16.11092,18.5401245176,0,1006.9,10,2019-01-01 12:00:00
"PHL",2019,1,1,13,57,53,86.77,230,23.0156,26.485892168,0,1008.2,10,2019-01-01 13:00:00
"PHL",2019,1,1,14,61,48,62.23,NA,17.2617,19.864419126,0,1010.2,10,2019-01-01 14:00:00
"PHL",2019,1,1,15,58,44,59.98,280,20.71404,23.8373029512,0,1011.7,10,2019-01-01 15:00:00
"PHL",2019,1,1,16,56,40,54.83,NA,27.61872,31.7830706016,0,1011.9,10,2019-01-01 16:00:00
